ph,tds,turbidity,orp,temperature,label,is_anomaly,is_spike
7.46,821.95,254.69,370.41,27.71,1,0,1
5.85,455.62,22.58,207.52,25.22,2,0,0
7.36,386.56,26.48,303.73,27.15,0,0,0
6.84,301.24,48.29,356.16,26.59,0,0,0
6.66,360.21,32.58,334.9,27.16,0,0,0
7.96,1113.89,718.81,62.59,49.97,0,1,1
6.4,564.25,61.96,101.38,29.38,2,0,1
7.45,519.0,240.6,261.73,26.89,1,0,1
7.6,575.81,204.85,251.67,22.92,1,0,1
7.1,508.39,153.59,279.11,28.27,1,0,1
9.97,1007.93,759.47,453.63,40.56,0,1,1
6.8,840.66,263.83,343.72,25.64,1,0,1
6.81,540.73,196.82,267.51,29.32,1,0,1
7.2,233.23,12.85,314.71,25.49,0,0,0
9.65,1543.04,852.3,87.61,21.77,0,1,1
6.34,853.96,192.83,354.51,27.32,1,0,1
12.57,1236.2,452.41,464.44,6.34,0,1,1
6.89,253.51,15.62,368.91,23.75,0,0,0
7.1,340.4,33.68,350.13,22.5,0,0,0
6.17,646.94,286.66,257.14,24.06,1,0,1
6.92,338.94,15.51,334.31,27.75,0,0,0
7.03,1636.87,866.99,557.33,84.65,0,1,1
2.39,1878.04,896.21,543.68,57.68,0,1,1
7.09,280.1,39.74,364.64,23.57,0,0,0
7.25,289.38,10.47,346.15,26.88,0,0,0
9.05,1078.09,420.13,777.75,36.83,0,1,1
6.71,270.02,28.91,316.78,27.97,0,0,0
6.7,246.99,18.85,351.13,25.05,0,0,0
7.43,200.99,27.7,379.75,28.31,0,0,0
7.29,270.14,5.71,384.67,24.09,0,0,0
6.35,536.67,71.78,107.31,25.93,2,0,1
7.54,791.49,257.05,343.96,26.83,1,0,1
6.91,298.09,29.71,315.08,20.59,0,0,0
6.81,329.41,9.48,385.2,29.4,0,0,0
7.53,602.02,161.47,312.91,20.16,1,0,1
4.77,542.57,31.27,210.73,25.53,2,0,1
7.93,515.01,239.15,310.46,26.16,1,0,1
7.08,310.8,6.35,368.67,21.78,0,0,0
7.45,316.15,40.17,353.06,26.65,0,0,0
6.38,607.88,258.01,281.08,26.84,1,0,1
6.66,593.62,266.92,280.12,27.72,1,0,1
6.71,819.61,168.8,295.92,27.04,1,0,1
7.02,335.18,11.03,374.75,21.94,0,0,0
6.98,696.17,125.52,354.43,27.58,1,0,1
7.08,259.28,29.25,379.28,21.23,0,0,0
4.0,587.16,70.17,243.93,25.56,2,0,1
6.99,253.92,4.86,344.84,20.01,0,0,0
4.1,464.88,62.25,292.64,20.89,2,0,0
7.55,757.74,282.46,276.04,25.42,1,0,1
7.88,1025.59,467.09,-244.93,88.54,0,1,1
7.2,338.75,28.08,383.73,20.89,0,0,0
7.41,365.91,20.42,367.62,28.72,0,0,0
7.16,848.7,136.17,331.74,21.42,1,0,1
6.92,339.9,17.74,337.62,21.26,0,0,0
7.2,795.55,236.7,367.4,24.86,1,0,1
7.29,373.71,28.97,355.13,29.08,0,0,0
6.61,548.4,188.75,325.43,28.07,1,0,1
7.96,527.14,230.1,288.37,20.25,1,0,1
5.36,479.92,62.59,103.82,23.44,2,0,0
7.99,1325.63,657.1,-423.48,62.25,0,1,1
8.95,1821.78,828.25,-448.63,27.86,0,1,1
6.94,390.72,28.15,371.56,21.88,0,0,0
6.7,695.92,138.36,331.07,28.69,1,0,1
4.17,438.29,72.92,257.62,25.57,2,0,0
6.56,240.69,11.31,336.94,24.56,0,0,0
6.95,325.08,29.43,313.06,28.34,0,0,0
7.04,222.76,44.05,331.21,22.83,0,0,0
4.77,526.12,45.38,166.27,25.57,2,0,1
7.41,341.43,13.27,319.03,27.73,0,0,0
4.62,529.21,20.88,103.13,28.83,2,0,1
7.34,379.23,47.72,322.36,24.93,0,0,0
7.21,376.03,15.25,380.09,28.11,0,0,0
7.83,661.76,226.57,286.8,21.28,1,0,1
4.37,519.82,42.54,271.09,28.79,2,0,1
6.12,839.73,119.91,252.04,27.2,1,0,1
6.9,327.56,32.88,399.92,22.82,0,0,0
7.4,319.88,48.17,397.55,26.18,0,0,0
4.21,537.21,20.01,192.59,27.19,2,0,1
6.6,234.09,24.57,301.72,26.21,0,0,0
7.21,360.47,27.43,354.45,21.45,0,0,0
4.48,504.02,21.77,190.67,22.28,2,0,1
8.25,1375.8,613.38,652.42,73.5,0,1,1
4.88,589.74,28.57,204.35,22.65,2,0,1
7.28,630.15,220.18,301.04,26.67,1,0,1
7.33,315.78,36.55,331.21,23.46,0,0,0
7.21,692.87,132.83,368.38,23.43,1,0,1
7.39,858.35,299.99,353.63,28.27,1,0,1
5.54,478.6,66.44,145.8,28.48,2,0,0
6.85,302.59,21.36,393.62,22.63,0,0,0
6.86,239.43,47.56,314.63,25.44,0,0,0
6.12,609.2,142.78,362.59,25.6,1,0,1
6.7,614.62,190.17,283.1,25.01,1,0,1
6.48,592.03,121.71,325.76,26.31,1,0,1
6.77,847.57,123.29,362.14,25.24,1,0,1
6.76,335.95,37.61,326.97,24.82,0,0,0
7.4,227.44,47.22,372.49,23.19,0,0,0
6.79,364.48,12.94,309.68,23.4,0,0,0
6.86,360.17,4.14,393.45,27.41,0,0,0
7.34,245.69,43.92,341.35,27.48,0,0,0
6.52,220.97,30.67,306.04,26.53,0,0,0
10.22,1934.1,436.1,427.67,92.28,0,1,1
5.4,437.09,25.35,122.75,26.24,2,0,0
5.82,540.93,66.47,202.28,26.68,2,0,1
7.12,800.36,109.57,282.33,23.14,1,0,1
6.85,327.91,35.09,315.73,29.83,0,0,0
7.08,338.56,15.91,398.71,28.47,0,0,0
3.84,1942.33,469.85,580.63,92.98,0,1,1
6.94,594.7,166.28,315.27,21.56,1,0,1
6.17,536.8,52.05,112.57,22.22,2,0,1
7.21,336.01,33.74,369.85,28.11,0,0,0
7.06,261.9,27.98,330.73,20.64,0,0,0
6.96,831.04,236.18,286.77,27.11,1,0,1
6.24,510.39,125.32,268.26,24.44,1,0,1
7.3,225.7,22.21,332.48,20.72,0,0,0
6.03,736.15,234.48,371.11,26.89,1,0,1
7.34,299.97,33.53,310.66,29.62,0,0,0
7.04,380.24,0.38,369.53,20.19,0,0,0
6.1,451.14,29.08,267.37,29.05,2,0,0
4.53,547.43,57.52,118.37,28.36,2,0,1
7.44,243.62,21.22,349.16,26.48,0,0,0
5.74,454.72,26.82,206.57,24.33,2,0,0
5.28,463.13,64.62,174.92,25.01,2,0,0
4.47,1739.27,521.99,-139.6,82.56,0,1,1
6.11,664.42,206.58,374.16,21.7,1,0,1
6.95,336.35,35.79,324.49,26.82,0,0,0
7.19,365.92,16.19,307.43,22.43,0,0,0
7.15,221.76,31.75,387.37,26.99,0,0,0
6.24,656.81,274.54,374.71,26.69,1,0,1
7.38,280.95,4.92,324.97,21.32,0,0,0
6.76,275.35,47.53,344.53,24.49,0,0,0
10.32,1417.58,742.49,-256.72,56.68,0,1,1
6.74,343.29,9.68,313.53,21.07,0,0,0
5.33,509.51,52.54,234.39,21.69,2,0,1
6.59,257.69,6.6,363.37,24.1,0,0,0
7.17,344.97,24.75,362.75,23.57,0,0,0
7.07,362.0,9.83,333.58,24.49,0,0,0
4.81,504.09,63.96,238.82,29.2,2,0,1
5.11,583.96,28.82,133.58,21.89,2,0,1
6.56,884.11,186.74,378.43,23.21,1,0,1
6.0,527.07,49.52,193.11,28.79,2,0,1
2.01,1553.13,872.21,167.78,33.24,0,1,1
6.42,827.67,132.29,290.04,21.3,1,0,1
6.74,398.26,24.13,373.21,20.92,0,0,0
7.31,368.7,20.69,373.38,29.07,0,0,0
6.23,765.77,172.8,286.49,27.6,1,0,1
6.94,893.44,249.61,263.4,27.71,1,0,1
7.99,532.26,276.44,269.32,23.75,1,0,1
7.27,253.46,17.22,323.22,27.61,0,0,0
7.9,630.61,118.8,286.82,25.92,1,0,1
4.3,590.71,41.35,275.4,22.36,2,0,1
6.65,227.2,14.74,384.23,28.51,0,0,0
7.57,1101.93,867.23,642.36,28.61,0,1,1
6.95,259.11,29.94,396.03,24.81,0,0,0
7.57,680.18,221.83,314.08,21.79,1,0,1
5.09,535.59,77.01,188.6,20.98,2,0,1
7.08,240.41,35.29,336.37,22.63,0,0,0
5.63,575.46,26.95,126.26,21.44,2,0,1
6.74,313.5,34.37,383.86,26.87,0,0,0
6.62,232.67,49.04,311.23,23.71,0,0,0
4.71,550.74,54.31,167.57,25.98,2,0,1
6.92,621.84,278.99,310.7,21.54,1,0,1
7.21,206.83,42.39,365.64,26.31,0,0,0
6.11,522.49,206.0,295.6,20.51,1,0,1
7.85,743.77,297.97,345.93,21.32,1,0,1
5.66,574.39,34.14,171.45,25.84,2,0,1
6.77,299.89,44.44,389.75,29.07,0,0,0
6.65,546.67,160.57,323.55,28.97,1,0,1
7.29,267.8,1.78,382.28,23.67,0,0,0
5.5,1787.5,422.12,557.15,88.85,0,1,1
6.55,204.7,35.56,346.93,28.46,0,0,0
7.11,629.73,175.58,309.96,20.81,1,0,1
13.12,1248.54,887.88,592.63,90.89,0,1,1
6.62,315.42,4.44,355.18,24.07,0,0,0
6.63,252.55,38.88,389.58,23.13,0,0,0
6.97,766.04,173.09,268.45,21.99,1,0,1
4.54,449.94,56.98,191.45,28.17,2,0,0
5.8,513.22,62.46,269.81,22.03,2,0,1
6.51,345.5,43.54,377.03,26.16,0,0,0
6.52,792.3,248.93,306.84,21.84,1,0,1
6.34,518.14,28.33,255.96,26.78,2,0,1
6.71,378.41,25.47,311.67,20.26,0,0,0
4.8,406.19,76.4,146.04,24.31,2,0,0
7.35,340.24,28.34,302.01,25.93,0,0,0
6.16,485.43,63.15,145.09,20.96,2,0,0
5.41,419.63,37.06,160.58,28.08,2,0,0
13.47,1712.88,591.23,-331.09,85.03,0,1,1
4.24,434.65,52.09,166.64,20.8,2,0,0
6.52,383.01,9.85,367.89,22.25,0,0,0
6.86,527.51,260.17,293.73,25.37,1,0,1
